Age,Gender,Occupation,Days_Indoors,Growing_Stress,Quarantine_Frustrations,Changes_Habits,Mental_Health_History,Weight_Change,Mood_Swings,Coping_Struggles,Work_Interest,Social_Weakness
16-20,Female,Student,Go Out Every Day,No,Maybe,No,Maybe,No,Low,No,Yes,No
25-30,Male,Housewife,31-60 Days,Maybe,Maybe,Maybe,No,Maybe,Low,Yes,Yes,Yes
20-25,Female,Student,Go Out Every Day,No,No,Maybe,Yes,Maybe,High,Yes,Maybe,Maybe
20-25,Female,Others,1-14 Days,Yes,No,Yes,Maybe,No,Low,Yes,Maybe,No
25-30,Female,Corporate,31-60 Days,Yes,Maybe,Maybe,Yes,Yes,Medium,Yes,No,No
30+,Male,Student,More Than 2 Months,Maybe,Yes,No,Yes,Maybe,High,Yes,Maybe,No
30+,Female,Corporate,31-60 Days,Yes,No,Yes,Yes,Yes,Medium,Yes,Yes,Yes
20-25,Male,Student,Go Out Every Day,Maybe,Maybe,Maybe,Yes,Maybe,High,No,No,Maybe
30+,Male,Corporate,More Than 2 Months,Yes,No,No,Maybe,Maybe,Medium,Yes,Maybe,Yes
30+,Male,Business,15-30 Days,No,Maybe,Yes,Maybe,Maybe,Medium,Yes,Maybe,Yes
16-20,Male,Student,31-60 Days,No,Yes,Maybe,Maybe,Maybe,Low,Yes,Maybe,Maybe
30+,Female,Corporate,31-60 Days,No,Maybe,No,Maybe,Yes,High,No,No,Maybe
25-30,Male,Student,More Than 2 Months,No,Maybe,Yes,Yes,No,High,No,Maybe,No
20-25,Male,Business,15-30 Days,Maybe,No,Yes,No,Maybe,High,Yes,No,Maybe
16-20,Female,Business,Go Out Every Day,No,Yes,Maybe,No,Yes,Low,Yes,Yes,Maybe
25-30,Female,Business,31-60 Days,Yes,No,No,Maybe,Maybe,High,No,No,No
25-30,Female,Others,31-60 Days,Yes,No,Yes,No,Yes,High,Yes,Yes,Yes
20-25,Male,Business,1-14 Days,Maybe,Maybe,Maybe,No,No,High,No,No,Maybe
30+,Female,Others,1-14 Days,Yes,Maybe,Maybe,Maybe,Maybe,Medium,Yes,Yes,Yes
20-25,Female,Student,15-30 Days,Maybe,Yes,Maybe,Yes,No,High,Yes,Maybe,No
30+,Female,Corporate,15-30 Days,Maybe,Maybe,Yes,Maybe,Maybe,Low,No,No,Maybe
25-30,Female,Student,More Than 2 Months,Yes,Maybe,No,Maybe,Yes,Low,No,No,Yes
30+,Male,Others,31-60 Days,Maybe,Maybe,No,No,Yes,Medium,Yes,Maybe,Maybe
25-30,Female,Corporate,31-60 Days,No,Yes,Yes,Yes,Yes,Medium,Yes,Yes,Maybe
20-25,Female,Corporate,More Than 2 Months,Yes,Maybe,Maybe,Yes,No,High,Yes,Maybe,No
20-25,Female,Corporate,31-60 Days,No,Yes,Maybe,No,No,High,Yes,No,Maybe
25-30,Female,Business,Go Out Every Day,No,Yes,No,No,Yes,Medium,Yes,No,Maybe
25-30,Male,Housewife,1-14 Days,Yes,Yes,Maybe,No,Maybe,Low,No,Maybe,No
16-20,Male,Business,31-60 Days,No,No,Yes,Yes,Maybe,High,No,Yes,Maybe
20-25,Female,Housewife,More Than 2 Months,Maybe,No,Maybe,Yes,Maybe,Medium,Yes,No,No
25-30,Female,Others,31-60 Days,Yes,Maybe,Maybe,Yes,Yes,High,Yes,Yes,No
30+,Male,Others,Go Out Every Day,Maybe,Yes,Maybe,Maybe,No,High,No,Maybe,Maybe
16-20,Female,Others,15-30 Days,Yes,Yes,No,Yes,No,High,Yes,Maybe,No
25-30,Male,Business,15-30 Days,Yes,Maybe,Maybe,Yes,No,Medium,No,Maybe,Yes
25-30,Female,Others,More Than 2 Months,Yes,Yes,No,No,Maybe,High,Yes,No,Maybe
30+,Male,Corporate,1-14 Days,No,Yes,Maybe,Yes,No,Medium,No,Yes,Maybe
20-25,Female,Housewife,15-30 Days,Yes,Yes,No,No,Yes,Low,No,Yes,Yes
30+,Female,Housewife,31-60 Days,Yes,No,Yes,No,Maybe,Low,Yes,Maybe,Maybe
20-25,Male,Business,1-14 Days,Yes,Maybe,Maybe,No,Maybe,Medium,Yes,No,Yes
16-20,Male,Corporate,31-60 Days,Maybe,No,Maybe,Maybe,Maybe,High,No,No,Yes
30+,Female,Others,31-60 Days,Maybe,No,Maybe,Maybe,No,Low,Yes,No,Yes
20-25,Female,Student,31-60 Days,No,No,Maybe,Maybe,Yes,Medium,Yes,Yes,No
30+,Female,Corporate,15-30 Days,No,No,Maybe,Yes,Yes,High,No,No,No
16-20,Male,Housewife,1-14 Days,Yes,Maybe,Yes,Yes,Yes,Medium,No,Maybe,No
30+,Female,Housewife,15-30 Days,No,Yes,No,Maybe,No,High,No,Maybe,No
25-30,Female,Housewife,Go Out Every Day,No,No,No,No,Maybe,High,No,Maybe,Yes
16-20,Male,Housewife,15-30 Days,Maybe,Maybe,No,No,Yes,Low,Yes,Maybe,Yes
30+,Female,Housewife,More Than 2 Months,No,Maybe,Maybe,No,Yes,High,No,No,Yes
25-30,Male,Housewife,15-30 Days,Yes,No,Maybe,Yes,No,Medium,No,Maybe,No
16-20,Male,Student,15-30 Days,Maybe,Yes,Maybe,Yes,No,Low,No,No,Yes
16-20,Female,Student,Go Out Every Day,No,Yes,Yes,Maybe,Maybe,Medium,No,No,Maybe
16-20,Female,Housewife,More Than 2 Months,Maybe,No,Maybe,Maybe,Yes,Low,No,Yes,Maybe
25-30,Female,Business,Go Out Every Day,Maybe,Yes,Yes,No,Yes,High,Yes,No,No
30+,Female,Business,15-30 Days,Maybe,Maybe,Yes,Yes,No,High,Yes,Yes,Yes
25-30,Male,Corporate,Go Out Every Day,Maybe,Maybe,Maybe,No,No,High,No,No,Maybe
30+,Female,Student,More Than 2 Months,Yes,Yes,Maybe,No,Yes,Low,Yes,No,Yes
20-25,Female,Business,1-14 Days,No,Yes,Maybe,Maybe,No,Medium,Yes,Maybe,No
25-30,Female,Others,More Than 2 Months,No,No,Maybe,No,Maybe,High,No,Yes,Maybe
20-25,Male,Student,More Than 2 Months,No,Yes,No,No,No,Low,Yes,Yes,No
20-25,Male,Student,1-14 Days,Maybe,Maybe,No,Maybe,Yes,Low,Yes,No,Maybe
30+,Female,Others,15-30 Days,No,Yes,Maybe,No,Yes,Medium,Yes,No,Yes
25-30,Male,Housewife,More Than 2 Months,No,Yes,Yes,Yes,Yes,Low,Yes,No,No
16-20,Female,Business,1-14 Days,Yes,Maybe,Yes,Yes,Yes,High,Yes,Yes,Maybe
25-30,Female,Corporate,31-60 Days,Maybe,Maybe,Yes,No,Maybe,Low,Yes,No,No
20-25,Female,Corporate,1-14 Days,Yes,No,Yes,Maybe,No,High,No,Maybe,No
16-20,Male,Corporate,15-30 Days,No,No,Yes,No,Yes,High,No,Maybe,Maybe
30+,Male,Business,Go Out Every Day,Maybe,No,Yes,Yes,Maybe,High,Yes,Maybe,No
16-20,Male,Housewife,15-30 Days,No,No,No,Yes,Yes,Low,No,No,Yes
25-30,Male,Business,15-30 Days,Maybe,No,No,Yes,No,Medium,Yes,Maybe,Maybe
30+,Male,Corporate,Go Out Every Day,No,No,No,Maybe,Maybe,Low,Yes,Yes,Maybe
30+,Female,Housewife,Go Out Every Day,Yes,Yes,Maybe,Maybe,Maybe,Medium,Yes,Maybe,No
16-20,Male,Corporate,Go Out Every Day,Maybe,No,Yes,No,Maybe,High,No,Maybe,No
16-20,Male,Corporate,1-14 Days,Yes,No,Maybe,Yes,Yes,Low,No,No,Yes
25-30,Male,Student,15-30 Days,No,Yes,Yes,Maybe,Maybe,High,No,No,No
25-30,Female,Student,1-14 Days,Yes,Maybe,No,No,Yes,Medium,Yes,Maybe,Maybe
16-20,Female,Housewife,Go Out Every Day,Maybe,No,No,No,No,Low,Yes,Maybe,Maybe
30+,Female,Others,More Than 2 Months,No,No,Yes,Maybe,No,Low,No,Maybe,Maybe
30+,Female,Business,Go Out Every Day,Yes,Yes,No,Maybe,Maybe,High,No,No,No
16-20,Female,Business,15-30 Days,No,Yes,Yes,Maybe,No,Low,Yes,Maybe,Yes
16-20,Female,Business,31-60 Days,Yes,No,Yes,Maybe,Maybe,High,No,Yes,No
25-30,Female,Business,1-14 Days,Yes,No,Yes,No,No,High,Yes,Yes,Yes
30+,Male,Housewife,15-30 Days,Maybe,No,No,Maybe,Maybe,Medium,No,Maybe,Yes
30+,Male,Business,Go Out Every Day,Maybe,Yes,Yes,Maybe,No,High,Yes,Maybe,Maybe
16-20,Male,Others,15-30 Days,Yes,Yes,Yes,Yes,No,Medium,No,Yes,No
16-20,Female,Student,Go Out Every Day,Maybe,No,Yes,Yes,No,Low,No,Yes,Yes
16-20,Male,Student,15-30 Days,No,Yes,Maybe,Maybe,Maybe,Low,Yes,Yes,Yes
16-20,Female,Corporate,31-60 Days,Maybe,No,No,Maybe,Yes,Medium,Yes,Maybe,No
20-25,Male,Others,More Than 2 Months,Maybe,Maybe,Yes,Yes,No,Low,No,No,No
25-30,Female,Others,15-30 Days,Maybe,Yes,No,No,No,Low,Yes,Yes,Maybe
20-25,Female,Business,15-30 Days,Yes,No,No,Yes,No,High,Yes,Maybe,Yes
20-25,Female,Corporate,15-30 Days,Maybe,Yes,No,Maybe,No,High,No,Yes,Yes
25-30,Male,Others,31-60 Days,No,Maybe,Maybe,Maybe,No,Low,Yes,No,Yes
30+,Male,Others,15-30 Days,Yes,Yes,Yes,Yes,No,High,Yes,Yes,Yes
16-20,Female,Others,Go Out Every Day,Maybe,Maybe,No,Yes,Yes,Low,Yes,No,Maybe
20-25,Male,Business,1-14 Days,Yes,Yes,Yes,No,Yes,Low,No,Maybe,Yes
30+,Male,Student,31-60 Days,Yes,Maybe,Yes,Yes,No,Low,No,Maybe,No
30+,Male,Business,15-30 Days,Yes,Maybe,Yes,No,Maybe,Medium,No,No,No
20-25,Male,Corporate,Go Out Every Day,Yes,Maybe,Maybe,Maybe,No,Low,No,Yes,Maybe
25-30,Male,Student,More Than 2 Months,Yes,Yes,Yes,Yes,Yes,High,Yes,Yes,Maybe
16-20,Female,Corporate,15-30 Days,Yes,Yes,No,Yes,No,Medium,Yes,No,Maybe
25-30,Female,Business,Go Out Every Day,Maybe,No,Maybe,Yes,No,Medium,Yes,No,No
20-25,Female,Corporate,31-60 Days,Yes,No,Maybe,Yes,Yes,Low,No,Yes,Yes
25-30,Male,Others,15-30 Days,No,No,Yes,No,No,High,No,Maybe,No
20-25,Male,Corporate,Go Out Every Day,Yes,Maybe,No,Maybe,Yes,Medium,No,Yes,Yes
16-20,Female,Others,1-14 Days,Yes,Yes,Maybe,Maybe,No,High,No,No,Maybe
25-30,Female,Corporate,1-14 Days,Yes,No,Maybe,No,Yes,High,No,No,Yes
25-30,Female,Others,15-30 Days,Yes,No,Maybe,No,No,High,Yes,Yes,Yes
20-25,Male,Business,More Than 2 Months,Yes,Yes,Maybe,Yes,Maybe,Medium,Yes,No,Maybe
30+,Male,Corporate,31-60 Days,Maybe,Maybe,No,Maybe,Yes,Medium,No,No,Maybe
30+,Female,Others,1-14 Days,Yes,Yes,Yes,Yes,Yes,Medium,No,Yes,No
20-25,Male,Corporate,31-60 Days,No,No,No,No,Maybe,Medium,Yes,Maybe,Yes
20-25,Male,Corporate,15-30 Days,Maybe,No,No,Maybe,Maybe,High,Yes,Maybe,Maybe
16-20,Male,Student,Go Out Every Day,Maybe,No,Yes,No,Maybe,Low,No,No,Yes
25-30,Male,Student,1-14 Days,Yes,Maybe,Yes,Yes,Maybe,Medium,Yes,Maybe,No
30+,Female,Housewife,31-60 Days,Yes,Maybe,Maybe,Maybe,Yes,Medium,Yes,No,Maybe
30+,Male,Others,31-60 Days,No,Maybe,No,No,Maybe,Medium,Yes,No,Yes
20-25,Female,Housewife,More Than 2 Months,Yes,No,Maybe,Yes,Yes,Medium,Yes,No,Yes
30+,Male,Corporate,1-14 Days,No,Maybe,Yes,Maybe,Maybe,Low,No,Yes,Maybe
30+,Male,Housewife,31-60 Days,Yes,Yes,Maybe,Maybe,No,Medium,Yes,Yes,Maybe
20-25,Female,Corporate,31-60 Days,Maybe,Yes,No,No,No,Medium,No,Yes,Yes
25-30,Female,Student,More Than 2 Months,Maybe,Maybe,Yes,No,No,Medium,No,Maybe,Maybe
30+,Male,Others,31-60 Days,No,Maybe,Yes,Maybe,Yes,High,Yes,No,Maybe
30+,Female,Housewife,1-14 Days,Yes,Maybe,Yes,Maybe,Maybe,High,No,No,Yes
16-20,Female,Corporate,1-14 Days,Maybe,Maybe,No,No,Yes,Low,Yes,Maybe,No
25-30,Female,Student,Go Out Every Day,Yes,Maybe,No,No,Maybe,High,No,No,No
25-30,Female,Corporate,31-60 Days,Maybe,No,No,No,Yes,Low,No,Yes,Maybe
30+,Female,Corporate,1-14 Days,Maybe,Yes,Yes,No,Yes,Low,No,No,Maybe
20-25,Male,Housewife,More Than 2 Months,Maybe,No,No,No,Maybe,Medium,Yes,Maybe,No
16-20,Male,Business,Go Out Every Day,Yes,No,No,Maybe,Maybe,Low,Yes,Yes,Maybe
25-30,Female,Corporate,Go Out Every Day,No,No,Yes,Yes,Maybe,Medium,No,No,Maybe
25-30,Female,Corporate,1-14 Days,Yes,No,Maybe,Maybe,Maybe,Low,No,Yes,No
16-20,Female,Others,15-30 Days,No,Maybe,Maybe,No,Maybe,Medium,Yes,No,No
16-20,Female,Student,More Than 2 Months,Yes,Yes,Maybe,Maybe,No,Medium,Yes,Yes,Maybe
25-30,Female,Corporate,1-14 Days,No,Yes,Maybe,No,Yes,Low,No,No,Yes
20-25,Female,Housewife,31-60 Days,Yes,Yes,Maybe,No,No,Low,Yes,Yes,Yes
25-30,Female,Housewife,31-60 Days,Yes,Yes,Maybe,Yes,No,Medium,No,No,No
30+,Male,Others,Go Out Every Day,Maybe,Yes,Maybe,Yes,Yes,High,Yes,Yes,No
20-25,Female,Student,Go Out Every Day,No,Maybe,Yes,Yes,Yes,High,No,Yes,Maybe
25-30,Female,Student,Go Out Every Day,Yes,No,Maybe,No,Yes,Low,No,Maybe,Yes
30+,Male,Housewife,Go Out Every Day,Yes,Maybe,Maybe,Yes,Yes,Low,No,Yes,Yes
30+,Male,Corporate,1-14 Days,No,Yes,Maybe,Yes,Yes,Medium,Yes,No,Yes
30+,Male,Housewife,15-30 Days,Maybe,No,Maybe,Maybe,Maybe,Low,No,Maybe,Maybe
16-20,Female,Others,1-14 Days,No,No,Maybe,Maybe,Yes,Low,Yes,Yes,Maybe
16-20,Female,Others,More Than 2 Months,Maybe,Yes,Yes,Maybe,No,Low,Yes,Yes,Maybe
25-30,Male,Corporate,More Than 2 Months,Maybe,No,Yes,No,Yes,Medium,No,No,Yes
30+,Female,Others,More Than 2 Months,Yes,No,Yes,No,Yes,Medium,Yes,Maybe,Maybe
25-30,Female,Student,Go Out Every Day,No,No,No,Maybe,Yes,Low,Yes,Maybe,Yes
20-25,Female,Business,1-14 Days,Yes,Yes,Maybe,Yes,No,Low,No,Maybe,Yes
25-30,Male,Housewife,Go Out Every Day,Yes,No,Yes,No,Yes,Low,Yes,No,No
25-30,Female,Housewife,1-14 Days,Maybe,No,Yes,Yes,No,Low,No,No,Maybe
16-20,Female,Business,1-14 Days,Yes,Yes,No,Maybe,No,High,No,Maybe,No
20-25,Female,Business,15-30 Days,Yes,Maybe,Maybe,No,Yes,Low,Yes,No,Maybe
20-25,Male,Corporate,15-30 Days,Yes,Yes,No,Maybe,Yes,Medium,Yes,No,Yes
20-25,Male,Housewife,Go Out Every Day,No,Maybe,Yes,No,No,High,No,Maybe,Yes
25-30,Female,Housewife,1-14 Days,Maybe,No,Maybe,No,No,Low,Yes,No,No
30+,Female,Student,More Than 2 Months,No,Maybe,Maybe,Yes,Yes,Medium,No,Maybe,No
30+,Male,Student,15-30 Days,Maybe,Yes,Yes,Yes,No,Medium,No,Yes,Maybe
30+,Female,Corporate,1-14 Days,No,Maybe,No,Yes,Yes,High,Yes,Yes,Yes
30+,Male,Others,31-60 Days,Maybe,No,Maybe,Maybe,Yes,Medium,No,No,No
30+,Female,Student,More Than 2 Months,Maybe,No,Maybe,Yes,No,High,No,Maybe,Yes
16-20,Female,Housewife,Go Out Every Day,Maybe,Maybe,Yes,No,Yes,Low,Yes,Maybe,No
30+,Female,Business,31-60 Days,No,No,Yes,Maybe,Maybe,Low,Yes,No,Maybe
20-25,Female,Student,Go Out Every Day,Yes,Maybe,Yes,Yes,Maybe,High,No,No,Maybe
25-30,Male,Housewife,More Than 2 Months,Yes,No,Yes,Maybe,No,High,No,No,Yes
25-30,Female,Corporate,More Than 2 Months,No,Maybe,Yes,No,Maybe,High,No,Yes,No
20-25,Male,Business,More Than 2 Months,Yes,Yes,No,Maybe,No,Low,Yes,Maybe,Yes
16-20,Female,Student,Go Out Every Day,Maybe,Yes,Yes,Yes,Yes,Low,Yes,Yes,Maybe
30+,Female,Business,15-30 Days,Maybe,Maybe,Yes,Maybe,Maybe,Medium,No,No,Yes
16-20,Male,Housewife,1-14 Days,No,Yes,Maybe,No,No,Low,No,Yes,Yes
16-20,Male,Housewife,Go Out Every Day,No,Yes,Yes,Maybe,No,Medium,Yes,No,Maybe
16-20,Female,Business,1-14 Days,Yes,Maybe,No,No,No,High,No,Yes,Yes
16-20,Female,Others,31-60 Days,Yes,Yes,Maybe,Maybe,No,High,No,Yes,No
30+,Male,Housewife,Go Out Every Day,Maybe,Maybe,Yes,Yes,Maybe,High,Yes,Maybe,Maybe
16-20,Male,Corporate,1-14 Days,Yes,Yes,Maybe,No,Yes,Low,No,Maybe,No
20-25,Male,Student,1-14 Days,Maybe,Maybe,Yes,No,Yes,High,No,Yes,Maybe
16-20,Male,Student,More Than 2 Months,Yes,Yes,Maybe,Yes,No,Medium,Yes,No,Maybe
20-25,Female,Corporate,31-60 Days,Yes,Yes,Maybe,Yes,Yes,High,No,Maybe,Maybe
30+,Female,Business,31-60 Days,Maybe,Maybe,No,Yes,Maybe,Low,No,Yes,Maybe
25-30,Female,Student,Go Out Every Day,No,No,Yes,Yes,Maybe,Low,No,No,Yes
20-25,Female,Business,More Than 2 Months,No,Yes,Yes,Maybe,No,High,Yes,Maybe,Yes
30+,Female,Business,31-60 Days,Maybe,No,Yes,Maybe,Yes,High,Yes,No,Yes
30+,Female,Others,More Than 2 Months,Yes,Maybe,No,No,No,Medium,Yes,Maybe,Maybe
25-30,Female,Business,1-14 Days,Yes,Maybe,Maybe,Yes,No,Medium,Yes,Yes,No
16-20,Male,Housewife,Go Out Every Day,No,No,Maybe,Maybe,Maybe,Medium,No,Maybe,No
30+,Female,Others,15-30 Days,No,Yes,Yes,Yes,Yes,Low,No,Yes,Yes
16-20,Male,Corporate,15-30 Days,Yes,No,No,Yes,Yes,High,Yes,Maybe,Maybe
20-25,Female,Housewife,31-60 Days,Yes,Maybe,Maybe,Maybe,Yes,Low,No,Yes,Maybe
16-20,Male,Housewife,31-60 Days,No,Yes,Yes,Maybe,Yes,Low,Yes,Maybe,Yes
30+,Female,Housewife,15-30 Days,Yes,Yes,Yes,Yes,No,Medium,Yes,Maybe,Maybe
16-20,Female,Housewife,31-60 Days,Maybe,Maybe,No,No,Maybe,Medium,No,No,Maybe
20-25,Male,Housewife,15-30 Days,Maybe,Maybe,Maybe,Maybe,Maybe,High,No,No,Yes
30+,Male,Student,31-60 Days,Yes,No,No,No,Maybe,High,Yes,No,Maybe
20-25,Female,Housewife,15-30 Days,No,No,Yes,Maybe,Maybe,Low,Yes,Yes,Maybe
25-30,Male,Student,1-14 Days,Maybe,No,No,Yes,Maybe,Medium,No,Yes,Maybe
30+,Male,Business,15-30 Days,No,Yes,Maybe,No,Maybe,High,No,Maybe,Yes
20-25,Female,Others,31-60 Days,No,Maybe,Yes,Maybe,No,High,Yes,No,Yes
25-30,Male,Business,1-14 Days,No,Yes,No,No,Yes,Low,No,Maybe,No
30+,Male,Business,Go Out Every Day,Yes,No,Yes,No,No,Medium,No,No,No
16-20,Female,Others,15-30 Days,No,Maybe,Maybe,Maybe,Yes,High,No,Maybe,Maybe
30+,Female,Corporate,More Than 2 Months,No,Maybe,Yes,Maybe,Yes,Low,Yes,Maybe,Yes
25-30,Male,Student,Go Out Every Day,Maybe,Maybe,No,Yes,Maybe,High,Yes,Yes,Maybe
25-30,Female,Others,More Than 2 Months,Maybe,Maybe,Maybe,No,Maybe,Medium,Yes,No,No
16-20,Male,Corporate,More Than 2 Months,No,Yes,Maybe,Yes,No,High,Yes,Yes,No
16-20,Male,Student,31-60 Days,Yes,Maybe,No,No,No,High,Yes,Yes,Yes
25-30,Male,Others,Go Out Every Day,No,Maybe,No,Maybe,No,Medium,No,Maybe,Maybe
25-30,Female,Housewife,More Than 2 Months,Maybe,Yes,Yes,Maybe,Yes,High,Yes,No,Yes
30+,Male,Housewife,Go Out Every Day,Maybe,Maybe,Yes,No,Maybe,Low,No,Yes,Maybe
20-25,Female,Student,Go Out Every Day,Yes,Yes,No,Maybe,Yes,Medium,No,Maybe,Maybe
25-30,Female,Business,Go Out Every Day,No,Maybe,Yes,No,Maybe,Medium,No,Maybe,Maybe
25-30,Female,Business,15-30 Days,No,Maybe,Yes,Yes,Yes,High,No,Yes,No
20-25,Female,Housewife,31-60 Days,Yes,Maybe,No,Maybe,Maybe,Medium,No,Yes,Maybe
30+,Female,Corporate,15-30 Days,Yes,Yes,Maybe,No,No,High,No,Maybe,No
16-20,Female,Student,Go Out Every Day,No,Yes,Yes,Yes,Yes,Low,No,No,Maybe
16-20,Female,Student,Go Out Every Day,Yes,No,Yes,Maybe,Yes,Medium,No,No,No
30+,Male,Business,31-60 Days,No,Yes,Yes,Yes,Maybe,Medium,No,Yes,Maybe
25-30,Female,Housewife,Go Out Every Day,Maybe,Maybe,Yes,Yes,Yes,Low,Yes,Maybe,Maybe
16-20,Male,Housewife,More Than 2 Months,Yes,Maybe,Maybe,Maybe,No,Low,Yes,No,Yes
20-25,Male,Others,1-14 Days,Yes,Yes,Yes,No,Maybe,Low,Yes,No,Yes
25-30,Female,Housewife,15-30 Days,Yes,Yes,Maybe,Maybe,No,High,Yes,Maybe,Maybe
30+,Male,Student,More Than 2 Months,Maybe,Maybe,Yes,No,Maybe,Low,No,No,No
16-20,Male,Student,15-30 Days,Yes,No,No,Maybe,No,High,No,Maybe,Maybe
25-30,Male,Corporate,1-14 Days,Maybe,Maybe,No,No,Yes,Low,Yes,Maybe,Yes
30+,Male,Corporate,More Than 2 Months,No,Yes,Yes,No,Yes,Medium,Yes,No,No
30+,Male,Housewife,More Than 2 Months,Yes,Maybe,No,No,Yes,Low,No,No,Yes
20-25,Male,Others,1-14 Days,Yes,Maybe,Maybe,Maybe,Maybe,Low,No,No,Maybe
16-20,Male,Business,More Than 2 Months,Maybe,Maybe,Maybe,No,Yes,High,Yes,Maybe,Yes
30+,Female,Housewife,15-30 Days,Maybe,Yes,No,Maybe,No,Low,Yes,Yes,No
20-25,Female,Business,31-60 Days,Yes,Yes,Yes,Maybe,Maybe,Low,Yes,Maybe,No
20-25,Female,Housewife,Go Out Every Day,Maybe,Maybe,Maybe,Yes,No,Medium,Yes,Maybe,Yes
20-25,Male,Others,1-14 Days,Maybe,No,Yes,Maybe,No,Low,Yes,Maybe,Maybe
20-25,Male,Housewife,1-14 Days,No,No,Yes,Maybe,No,Low,Yes,Yes,Yes
20-25,Male,Housewife,31-60 Days,No,Yes,Yes,No,Maybe,Low,Yes,Maybe,Maybe
25-30,Male,Business,31-60 Days,No,Maybe,Yes,Maybe,Maybe,Low,No,Maybe,Yes
25-30,Female,Housewife,15-30 Days,No,Yes,Yes,Maybe,Maybe,Medium,No,No,No
16-20,Female,Others,1-14 Days,Yes,Maybe,Maybe,Yes,Yes,Low,Yes,No,Maybe
30+,Male,Others,1-14 Days,Maybe,No,No,Yes,Yes,Medium,Yes,No,No
20-25,Female,Housewife,1-14 Days,Yes,Yes,No,Yes,No,Medium,No,Maybe,Maybe
16-20,Male,Corporate,1-14 Days,Maybe,No,Yes,Yes,Maybe,High,No,No,Yes
16-20,Female,Others,More Than 2 Months,No,No,Yes,Yes,Yes,Low,Yes,Yes,No
16-20,Male,Housewife,31-60 Days,Maybe,Maybe,No,Maybe,Maybe,High,Yes,Yes,Yes
25-30,Male,Housewife,15-30 Days,No,No,No,No,Maybe,Low,No,No,No
16-20,Female,Student,More Than 2 Months,Yes,No,Maybe,Maybe,Maybe,Low,Yes,Maybe,Yes
30+,Female,Corporate,1-14 Days,Maybe,No,Yes,Maybe,Yes,High,Yes,No,No
30+,Female,Student,15-30 Days,No,No,Yes,No,Maybe,Medium,Yes,Maybe,Maybe
25-30,Male,Housewife,1-14 Days,Yes,No,Yes,No,Maybe,Medium,No,No,Yes
20-25,Female,Others,More Than 2 Months,No,No,No,Yes,No,High,No,No,Yes
16-20,Male,Others,31-60 Days,Yes,No,Maybe,Yes,No,High,Yes,Maybe,Yes
16-20,Male,Corporate,15-30 Days,No,Yes,No,No,Yes,Medium,No,Maybe,Maybe
25-30,Female,Student,31-60 Days,Yes,No,Maybe,No,No,High,Yes,No,No
20-25,Female,Student,Go Out Every Day,Yes,No,Yes,Yes,No,Medium,Yes,No,Yes
30+,Female,Housewife,31-60 Days,Maybe,No,Yes,Yes,Yes,Low,No,Maybe,Maybe
25-30,Male,Corporate,1-14 Days,Yes,No,No,No,Maybe,Medium,No,No,No
20-25,Male,Business,15-30 Days,Maybe,Yes,Maybe,No,No,Medium,Yes,Maybe,Yes
20-25,Female,Corporate,31-60 Days,Maybe,Maybe,Maybe,Yes,Yes,Medium,Yes,Yes,No
30+,Male,Housewife,More Than 2 Months,Maybe,Yes,Yes,No,Maybe,Medium,No,Maybe,No
30+,Male,Business,More Than 2 Months,Maybe,Yes,No,No,Yes,Medium,No,No,No
20-25,Female,Others,31-60 Days,Yes,No,No,No,Yes,Medium,Yes,Yes,Maybe
16-20,Male,Student,1-14 Days,Maybe,Maybe,Yes,No,Yes,Medium,No,No,Maybe
20-25,Male,Business,1-14 Days,No,Yes,Maybe,Yes,Maybe,Low,No,No,Yes
16-20,Female,Housewife,15-30 Days,No,Yes,No,No,Maybe,High,Yes,Maybe,Yes
20-25,Male,Business,1-14 Days,Maybe,No,No,No,Maybe,Low,Yes,Yes,No
30+,Female,Corporate,More Than 2 Months,Maybe,Maybe,Maybe,Maybe,Maybe,High,No,No,Maybe
16-20,Male,Corporate,Go Out Every Day,Maybe,Yes,No,No,No,Medium,Yes,Yes,No
30+,Female,Corporate,31-60 Days,Yes,Maybe,No,No,Yes,Low,No,Yes,Maybe
30+,Male,Housewife,1-14 Days,Maybe,Yes,Yes,No,Maybe,Low,No,Maybe,No
20-25,Male,Business,More Than 2 Months,Yes,Yes,Maybe,No,No,Medium,Yes,Maybe,Yes
25-30,Male,Corporate,15-30 Days,No,Yes,Yes,No,Maybe,High,No,Yes,No
20-25,Male,Housewife,1-14 Days,No,Yes,Yes,No,Yes,Medium,No,Maybe,No
30+,Female,Student,More Than 2 Months,Yes,No,Maybe,Maybe,Yes,High,Yes,No,No
16-20,Male,Student,31-60 Days,No,No,Maybe,Yes,Yes,High,Yes,Maybe,No
16-20,Male,Others,Go Out Every Day,Yes,Yes,Maybe,No,No,Low,Yes,No,No
16-20,Male,Student,15-30 Days,Maybe,Yes,Maybe,Maybe,No,Low,Yes,Yes,Maybe
25-30,Female,Student,More Than 2 Months,Yes,Yes,No,No,Maybe,Low,No,Yes,Maybe
25-30,Male,Housewife,1-14 Days,Maybe,Yes,Yes,Maybe,No,Low,No,Yes,No
20-25,Female,Others,More Than 2 Months,Maybe,Maybe,Maybe,No,No,Medium,No,Maybe,Maybe
30+,Male,Corporate,More Than 2 Months,No,Yes,No,Maybe,No,High,Yes,Maybe,Yes
25-30,Female,Housewife,31-60 Days,No,Maybe,Yes,Yes,No,High,No,No,Yes
